,persona,nosaukums,domid,url,urlattels
47,Rainis,Rainis,62389,https://dom.lndb.lv/data/obj/62389,https://dom.lndb.lv/data/obj/62389.png
48,Rainis,Rainis,62395,https://dom.lndb.lv/data/obj/62395,https://dom.lndb.lv/data/obj/62395.png
49,Rainis,Rainis,62396,https://dom.lndb.lv/data/obj/62396,https://dom.lndb.lv/data/obj/62396.png
50,Rainis,Rainis,62397,https://dom.lndb.lv/data/obj/62397,https://dom.lndb.lv/data/obj/62397.png
51,Rainis,Rainis,64513,https://dom.lndb.lv/data/obj/64513,https://dom.lndb.lv/data/obj/64513.png
52,Rainis,Rainis,64517,https://dom.lndb.lv/data/obj/64517,https://dom.lndb.lv/data/obj/64517.png
53,Rainis,Rainis,64525,https://dom.lndb.lv/data/obj/64525,https://dom.lndb.lv/data/obj/64525.png
54,Rainis,Rainis,64528,https://dom.lndb.lv/data/obj/64528,https://dom.lndb.lv/data/obj/64528.png
55,Rainis,Rainis,64529,https://dom.lndb.lv/data/obj/64529,https://dom.lndb.lv/data/obj/64529.png
56,Rainis,Rainis,64531,https://dom.lndb.lv/data/obj/64531,https://dom.lndb.lv/data/obj/64531.png
57,Rainis,Rainis,66520,https://dom.lndb.lv/data/obj/66520,https://dom.lndb.lv/data/obj/66520.png
58,Rainis,Rainis,66567,https://dom.lndb.lv/data/obj/66567,https://dom.lndb.lv/data/obj/66567.png
59,Rainis,Rainis,66568,https://dom.lndb.lv/data/obj/66568,https://dom.lndb.lv/data/obj/66568.png
60,Rainis,Rainis,68815,https://dom.lndb.lv/data/obj/68815,https://dom.lndb.lv/data/obj/68815.png
